runtime,vote_average,release_month,Comedy,Crime,Drama,Action,Thriller,Romance,Adventure,Family,Fantasy,Animation,Mystery,ScienceFiction,Horror,History,War,Music,Documentary,Western,Empty,TVMovie,Foreign,PC_class,log_raw_budget,log_raw_revenue,log_budget,log_revenue,log_popularity,log_vote_count
105.0,7.7,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17.529082649058825,18.503642264666713,17.529082649058825,18.503642264666713,3.228271546508563,9.192278229157774
125.0,6.5,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.866647801771908,20.05986555355841,18.866647801771908,20.05986555355841,3.202258519044763,8.594154232552366
120.0,7.2,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,18.10542191743649,18.152526921289418,18.10542191743649,18.152526921289418,2.6079351630992336,7.3987862754199485
108.0,6.2,11,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18.08869842654129,18.578510237211308,18.08869842654129,18.578510237211308,3.5010125502643525,7.591861714889934
113.0,7.2,10,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,15.82372472458392,18.66537734262447,15.82372472458392,18.66537734262447,3.5278887680218105,8.432288684325794
113.0,7.0,6,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.789380985519028,19.06722362484943,17.789380985519028,19.06722362484943,2.2453796192232662,6.745236349484363
103.0,7.4,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,14.348489573225686,18.80970863142526,14.348489573225686,18.80970863142526,3.979550804220019,8.772610303280743
138.0,7.3,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17.671597952212707,18.2287223173312,17.671597952212707,18.2287223173312,2.481149600910288,6.78897174299217
128.0,6.3,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.512347941602275,19.223733548000933,18.512347941602275,19.223733548000933,2.4822364212321215,6.882437470997847
145.0,7.3,6,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,18.839259497785726,20.095860815361302,18.839259497785726,20.095860815361302,2.87175509373428,8.741615924228828
108.0,6.0,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,17.566425426493904,15.878165489592009,17.566425426493904,15.878165489592009,2.5643337834193223,5.313205979041787
154.0,7.3,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.813240884081136,18.009009130273252,16.813240884081136,18.009009130273252,2.857791172440768,8.425077902508432
110.0,7.5,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,17.396526394049662,18.131541770735872,17.396526394049662,18.131541770735872,2.8252997611524497,8.002359546252707
124.0,7.4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17.819200770166418,19.197550011882,17.819200770166418,19.197550011882,3.108167702883779,8.712266432135355
102.0,6.3,8,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.112115474198863,17.611687308464806,18.112115474198863,17.611687308464806,3.5418574713069146,7.973155433444133
118.0,6.5,11,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18.046423577507504,19.196329150628106,18.046423577507504,19.196329150628106,2.5096805598866476,6.8001700683022
122.0,7.9,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.536806051605975,19.39282755466293,16.536806051605975,19.39282755466293,3.2082596724050116,9.059866258621348
119.0,7.4,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18.22222981742365,20.03267846926809,18.22222981742365,20.03267846926809,3.0658644957343686,8.936035096566041
178.0,7.9,5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,18.657490493921802,19.72793190043743,18.657490493921802,19.72793190043743,3.5729353515831104,8.910450756416656
111.0,7.2,11,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18.18064533768088,19.362639226473735,18.18064533768088,19.362639226473735,2.6668809240641393,7.108244139731541
103.0,6.4,11,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18.56478109658413,19.086970475478534,18.56478109658413,19.086970475478534,2.6657688088456037,6.670766320845874
117.0,6.2,12,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18.308631251329423,18.423637478501483,18.308631251329423,18.423637478501483,2.7839613085347485,6.876264611890766
121.0,7.7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,17.02836835074836,17.803753607836075,17.02836835074836,17.803753607836075,2.8400721217135274,7.602401335665818
114.0,6.4,10,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,16.40327466837995,19.199804517964747,16.40327466837995,19.199804517964747,3.796118204783535,8.025189321890835
89.0,6.6,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,15.516615841405933,19.160269513890128,15.516615841405933,19.160269513890128,3.7713116124673944,8.198089248956116
122.0,5.9,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.25900993868113,20.70641977753285,19.25900993868113,20.70641977753285,3.269835063465328,8.694167141883597
121.0,7.5,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16.6579065533093,18.550169242583355,16.6579065533093,18.550169242583355,2.280237229330138,7.036148493750536
118.0,7.5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.984892228079548,16.737616635599426,14.984892228079548,16.737616635599426,2.4525556195703406,6.815639990074331
128.0,6.4,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.042344317830995,18.673346048278116,18.042344317830995,18.673346048278116,2.4814841329866706,6.855408798609928
106.0,7.1,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15.507449876072164,17.124831913028785,15.507449876072164,17.124831913028785,2.152692003419429,5.627621113690637
93.0,5.9,9,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16.05024509107069,15.11023799953124,16.05024509107069,15.11023799953124,2.1598687907924505,4.59511985013459
118.0,7.1,8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.935197944107763,18.326499803317425,17.935197944107763,18.326499803317425,2.642622395779755,7.768956044538332
