budget,genres,popularity,production_companies,revenue,runtime,title,vote_average,vote_count,release_year,release_month,adj_revenue,adj_budget
7000000,"['Crime', 'Drama', 'Thriller']",23.541999999999998,"['PolyGram Filmed Entertainment', 'Working Title Films']",60611975.0,98.0,Fargo,7.9,5533.0,1996,8,103646477,11970000
22000000,"['Fantasy', 'Action', 'Thriller']",25.8,"['Screen Gems', 'Lakeshore Entertainment', 'Laurinfilm', 'Subterranean Productions LLC', 'Subterranean Productions UK Ltd.', 'Underworld Produktions GmbH']",95708457.0,122.0,Underworld,6.8,4785.0,2003,9,139734347,32120000
25000000,"['Drama', 'Crime']",65.57,['Castle Rock Entertainment'],28341469.0,142.0,The Shawshank Redemption,8.7,18641.0,1994,9,51298058,45250000
102000000,"['Action', 'Thriller', 'Science Fiction']",41.56100000000001,"['Carolco Pictures', 'TriStar Pictures', 'StudioCanal']",520000000.0,137.0,Terminator 2: Judgment Day,8.0,9174.0,1991,3,1024400000,200940000
42000000,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",11.55,"['Lightstorm Entertainment', '20th Century Fox']",7959291.0,145.0,Strange Days,7.0,843.0,1995,10,14008352,73920000
300000000,"['Adventure', 'Fantasy', 'Action']",60.081,"['Jerry Bruckheimer Films', 'Second Mate Productions', 'Walt Disney Pictures']",961000000.0,169.0,Pirates of the Caribbean: At World's End,7.2,10782.0,2007,5,1239690000,387000000
9000000,"['Comedy', 'Drama']",11.118,"['Working Title Films', 'Circle Films', '20th Century Fox']",6153939.0,116.0,Barton Fink,7.5,1120.0,1991,1,12123259,17730000
2600000,['Documentary'],7.162999999999999,[],3166000.0,105.0,Riding Giants,7.7,32.0,2004,9,4495720,3692000
3000000,"['Comedy', 'Documentary', 'Music']",11.401,['Yari Film Group'],11718595.0,100.0,Dave Chappelle's Block Party,6.7,76.0,2005,12,16054475,4110000
12000000,['Drama'],11.589,['Columbia Pictures'],43440294.0,123.0,A River Runs Through It,7.1,678.0,1992,9,82970961,22920000
200000000,"['Action', 'Thriller', 'Science Fiction']",25.374000000000002,"['Columbia Pictures', 'Intermedia Films', 'C-2 Pictures', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'Mostow/Lieberman Productions', 'Warner Bros. Pictures']",435000000.0,109.0,Terminator 3: Rise of the Machines,6.1,4823.0,2003,2,635100000,292000000
90000000,"['Fantasy', 'Drama', 'Romance']",15.427,"['Universal Pictures', 'City Light Films']",142940100.0,178.0,Meet Joe Black,7.2,3358.0,1998,12,235851165,148500000
85000000,"['Crime', 'Thriller']",16.482,"['Village Roadshow Pictures', 'Warner Bros. Pictures', 'Section Eight', 'Jerry Weintraub Productions']",311312624.0,122.0,Ocean's Thirteen,6.7,4735.0,2007,6,401593284,109650000
